2717,2265,2332,2198,2027,1727,1616,1401,1373,1368,1589,1797,1854,1928,2033,2622,2739,2859,3289,4687
2923,2341,2301,2059,1802,1453,1364,1257,1222,1185,1346,1449,1694,2023,2275,2782,3334,3933,4599,7353
3157,2563,2232,1806,1491,1388,1154,1058,926,1014,995,1091,1349,1588,1998,2405,3283,4170,5245,7984
3591,2331,2064,1700,1434,1186,975,821,827,760,795,830,1053,1272,1616,2331,3016,3940,5498,8734
3530,2422,2031,1573,1326,1019,811,630,563,531,472,600,696,969,1327,1895,2981,4014,5594,8532
3458,2369,1836,1434,1101,931,727,549,405,390,416,437,527,662,972,1702,2423,3855,5528,8656
3558,2291,1770,1308,1010,649,572,381,331,272,241,248,313,476,799,1332,2292,3549,5257,8508
3104,2017,1602,1168,890,682,402,320,204,162,164,159,191,330,751,1163,1926,3210,4801,7983
2499,1855,1514,1119,810,567,310,220,148,107,116,133,165,335,526,1092,1887,2866,4483,7441
2300,1697,1280,978,663,453,246,159,113,54,41,85,153,323,467,909,1621,2736,3954,6658
2053,1387,1139,793,543,306,213,118,81,67,49,85,112,184,371,787,1418,2513,3851,6116
1715,1185,908,688,412,319,158,102,47,48,58,75,75,146,330,757,1212,2203,3288,5413
1426,1016,786,523,346,237,149,57,35,22,44,44,43,111,269,650,1133,1887,3065,4648
1196,849,564,456,263,165,100,47,29,17,11,20,42,101,246,488,995,1715,2699,4084
1026,659,492,336,283,153,92,31,22,9,7,15,44,82,218,442,764,1328,2141,3772
741,554,430,302,199,127,71,36,10,5,9,23,39,91,185,354,725,1188,1873,3058
662,431,318,198,156,133,63,32,24,10,18,9,13,32,95,315,591,1092,1530,2563
575,362,268,150,113,109,52,19,12,8,9,6,15,34,139,300,539,948,1273,2209
471,279,210,169,107,48,44,28,17,6,2,5,19,47,110,208,447,777,1082,2010
418,226,192,136,87,72,33,21,13,9,7,9,5,38,100,169,395,764,1096,1763
342,207,178,119,73,51,47,26,5,0,2,8,17,13,66,200,355,571,1004,1806
281,159,125,94,79,46,33,19,11,6,5,1,9,26,61,135,296,560,889,1663
169,111,118,98,62,37,6,9,6,6,0,0,20,33,59,90,240,469,813,1442
179,138,95,77,52,20,9,4,2,4,0,0,18,30,61,98,206,499,733,1378
186,140,97,66,37,29,21,8,2,0,0,0,5,7,39,107,222,390,737,1173
201,168,107,57,41,18,17,6,2,5,1,1,5,29,34,60,240,382,643,1078
191,163,114,68,44,19,7,7,4,0,0,0,1,15,24,77,177,329,504,879
155,145,95,71,32,12,7,4,4,0,0,0,0,6,29,86,165,271,428,711
156,121,78,49,20,16,13,10,3,2,1,0,4,4,20,84,163,268,376,707
144,115,72,47,24,19,12,5,2,1,3,1,0,8,23,64,103,206,396,616
156,102,75,49,31,31,8,1,2,0,0,1,5,14,25,77,124,169,284,564
149,84,96,43,39,21,5,3,1,1,0,0,6,13,32,65,85,140,258,399
132,100,79,63,45,18,12,8,3,0,0,0,3,13,14,66,88,96,201,310
