1083,948,924,1081,956,1009,1074,1062,992,1056,985,1001,1040,1037,1067,1049,988,1128,1037,1114
8184,6842,6857,6827,6401,5814,5503,5439,5349,5259,5029,4906,5021,4951,4848,4653,5017,5047,4912,5461
10686,8706,8564,8424,7740,7319,7070,6889,6725,6486,6032,5633,5497,5287,5200,5243,5335,5163,4954,5592
12614,9567,9507,9056,8669,8210,7532,7098,6936,6621,6103,5738,5484,5324,5070,5203,4981,5035,4797,5255
14217,10694,10028,9638,9190,8379,7964,7311,6918,6444,5859,5729,5403,5125,4959,4865,4764,4472,4254,4968
15119,11774,10844,10173,9531,8842,7933,7275,6790,6415,5865,5448,4941,4786,4873,4649,4431,4268,3999,4428
16460,12525,11679,10919,10008,9167,8263,7620,6679,6135,5783,5153,4754,4594,4524,4142,3897,3739,3390,3871
17813,13703,12872,11370,10282,9278,8451,7498,6545,5845,5255,5010,4618,4402,4235,3854,3455,3303,2892,3174
19490,14555,13299,11832,11013,9733,8555,7278,6448,5346,4866,4430,4443,4076,3972,3505,3203,2817,2357,2748
21264,15313,13775,12273,11202,10194,8334,7181,6171,5416,4643,4412,4143,3752,3531,3262,2774,2388,1945,2276
22232,16619,14933,12688,11415,10086,8513,6951,5936,5110,4841,4357,3900,3384,3080,2794,2332,1971,1701,1942
23353,17715,15701,13290,11473,9603,8086,6689,5628,5066,4590,4075,3542,3110,2773,2578,2218,1768,1427,1623
25115,18265,15892,13922,11884,9899,8162,6944,5624,4738,4176,3687,3190,2901,2510,2120,1800,1440,1297,1277
26520,19337,16948,14313,12034,9737,8071,6638,5069,4682,3909,3377,3044,2618,2180,1713,1404,1200,974,1028
27654,20424,17832,14982,12413,9588,7698,6117,5093,4356,3611,3141,2728,2196,1728,1443,1211,1038,876,815
29198,21057,18361,14974,12221,9527,7503,6229,5170,4192,3377,2750,2445,1950,1504,1296,1057,805,688,668
29883,21649,18641,15737,12448,9547,7341,5949,4785,3675,3334,2720,2150,1793,1394,1091,902,745,592,568
30581,22329,19458,15685,12476,9948,7419,5781,4675,3649,3019,2297,1911,1490,1148,885,664,647,470,500
31447,23034,20386,16347,12839,9384,7563,5708,4426,3409,2716,2046,1523,1181,1028,759,579,501,352,285
31953,24076,20322,16464,12756,9868,7262,5449,4164,3187,2535,1901,1408,1063,872,719,535,414,308,333
33086,23809,20345,16479,12974,9870,7229,5493,3978,3014,2179,1761,1339,1039,835,584,400,256,258,296
34755,24602,20738,16456,12438,9617,7179,5423,4046,2730,2060,1543,1039,849,677,516,307,217,192,188
35256,25217,20784,16405,12779,9464,7056,5110,3789,2572,1935,1443,1069,698,507,370,236,162,157,149
36265,25434,20956,16533,13102,9654,7055,5046,3543,2176,1736,1296,871,624,509,381,247,167,108,110
36116,25917,21484,16829,12945,9377,6964,4826,3304,2394,1658,1136,788,575,441,279,201,122,70,98
36371,25986,21863,17043,12974,9531,6760,4787,3095,2021,1594,1243,724,508,315,192,141,118,75,84
36768,26615,21855,17306,12995,9232,6659,4767,3049,2119,1414,1076,657,493,263,149,84,117,63,99
37332,27022,22192,17100,12738,9273,6315,4345,2975,2076,1461,972,630,386,275,221,118,74,58,82
37754,26799,22501,17422,13032,9280,6234,4015,2839,1935,1303,771,489,331,244,190,137,67,42,27
38133,27255,22693,17212,12612,8898,6078,4203,2836,1975,1265,675,426,283,228,137,132,61,85,39
38054,27518,22319,17180,13088,8914,6345,4211,2799,1781,1159,710,449,288,188,130,99,64,41,19
38509,27257,22494,17487,12950,9233,6196,4041,2592,1626,1131,719,449,274,234,173,93,68,46,60
38484,27459,22350,17516,13218,9447,6237,4103,2493,1583,1015,686,404,246,170,128,58,53,35,18
38567,27342,22278,17617,13047,9272,6502,4084,2490,1489,923,675,438,189,118,77,43,21,41,31
38980,27704,22726,17440,12763,9112,6364,4242,2606,1417,851,619,336,254,136,77,56,36,12,9
39353,28058,22732,16994,12760,8730,6314,4159,2580,1507,926,569,333,234,116,89,56,26,7,9
40111,28482,22947,17303,12401,8682,5884,4098,2462,1502,907,523,325,206,96,58,39,9,6,7
39651,28636,22988,17461,12491,8746,5875,3942,2441,1461,828,465,332,180,118,37,44,13,7,11
39837,28375,23296,17416,12545,8617,5887,3899,2446,1508,931,456,241,166,94,31,34,15,7,0
39840,28128,22990,17684,12575,8919,5886,3833,2341,1408,821,459,234,110,61,39,23,8,4,3
40261,27951,23020,17548,12900,9078,5758,3696,2301,1309,836,484,260,137,73,71,28,8,3,1
39377,28128,23135,17659,12855,9017,5940,3710,2310,1347,812,461,259,145,58,15,26,21,17,6
39601,27867,23253,17600,12663,9041,5788,3813,2427,1454,864,538,267,128,68,29,23,14,8,6
39555,28632,23375,17554,12401,8686,5886,3755,2311,1442,843,489,230,157,71,47,29,15,4,7
39813,28085,23513,17562,13038,8809,5719,3558,2106,1368,880,530,268,129,81,59,27,17,6,6
40306,28240,23274,17462,12847,8729,5910,3495,2173,1336,837,498,295,163,95,52,26,21,3,5
