625,587,535,643,582,616,558,628,580,622,513,705,595,577,588,682,539,642,643,655
5638,4091,3926,3631,3341,2859,2714,2766,3257,3170,3454,3836,3638,3314,3464,3497,3823,4440,4916,5918
7544,5421,4682,4045,3634,3243,3063,3000,3030,3143,3465,3920,4196,4532,4608,4919,5545,6585,7190,8989
9220,6238,5386,4476,3714,3187,2841,2798,2914,2974,2898,3366,3942,4469,4735,5170,6089,7173,8145,11166
9919,7007,5942,4957,3945,3387,2839,2748,2659,2633,2782,3006,3512,3892,4692,5711,6441,7720,9025,13128
11247,7806,6439,5027,4225,3535,2835,2555,2277,2237,2607,2686,2894,3466,4295,5450,6662,7825,10353,15061
12256,8382,6928,5329,4320,3541,2774,2310,2254,2106,2067,2088,2369,3072,4100,5442,6845,8866,11108,17179
12926,9283,7450,5666,4400,3324,2715,2306,2062,1860,1727,1883,2052,2767,3591,5150,6932,9203,12184,18897
14134,9740,7785,5870,4626,3324,2515,2097,1855,1655,1489,1716,1941,2307,3300,4843,7206,10093,13340,20128
15047,10040,8190,6116,4414,3274,2523,2129,1780,1576,1555,1505,1647,2228,2986,4632,7309,10483,13686,22123
15774,11038,8512,6573,4578,3242,2422,1935,1621,1371,1166,1276,1634,2106,2897,4559,7056,10582,14742,22644
16776,11506,9054,6764,4853,3266,2435,1721,1366,1148,1053,1011,1316,1902,2647,4340,7069,10888,15539,24174
17223,11789,9145,6890,4869,3482,2398,1714,1274,1057,943,938,1198,1565,2492,4154,7141,11065,16008,25470
17835,12362,9644,6949,5078,3460,2375,1481,1109,842,882,784,989,1449,2354,4323,7108,11245,16426,26105
17558,12613,10028,7494,5136,3366,2302,1441,1048,876,703,709,871,1465,2419,4176,7249,11462,16765,26701
18094,12555,10053,7361,5156,3671,2270,1442,1039,814,708,691,769,1247,2423,4605,7404,11745,16735,27214
18589,12834,10425,7217,5299,3596,2306,1428,999,708,623,528,715,1174,2381,4428,7504,12046,17490,27483
18982,13140,10549,7522,5171,3355,2239,1388,977,685,536,528,623,1214,2229,4075,7653,12379,17680,27764
19314,13313,10313,7799,5405,3214,2113,1359,947,643,451,440,534,1150,2277,4475,7595,12202,17447,28295
19608,13109,10446,7615,5403,3459,2088,1325,942,687,418,408,628,1271,2300,4378,7663,11890,17808,28665
19371,13418,10477,7749,5412,3467,2204,1380,871,603,469,449,627,1120,2180,4327,7590,12433,17937,29206
19798,13483,10670,7475,5249,3433,2076,1373,907,568,410,380,519,1040,2139,4280,7735,12525,18606,29152
19665,13725,10671,7576,5114,3576,2168,1276,748,548,369,411,532,1087,2122,4270,7618,12475,18811,29356
19876,13765,10712,7620,5363,3492,2087,1230,715,479,365,411,624,1050,2066,4111,7841,12728,18626,29493
19679,13596,10882,7653,5428,3472,2067,1306,771,535,341,335,510,1005,2126,4378,8015,12948,18488,29743
19357,13765,10670,7943,5457,3456,2103,1205,774,452,319,370,568,1073,2224,4536,8268,13226,18504,29073
19347,13706,11065,8020,5525,3565,2008,1216,693,361,317,358,625,1126,2237,4326,8065,12993,18715,29819
19823,13613,10806,7898,5359,3574,2089,1190,741,390,275,342,562,1067,2185,4409,7689,12633,19198,30210
19962,13831,10953,7904,5258,3370,2193,1207,680,388,291,305,547,1043,2141,4339,7971,12896,18679,30133
19731,13628,10649,7765,5502,3630,2199,1241,662,369,303,307,470,954,2307,4396,7914,13060,19105,30449
19927,13583,10601,8076,5348,3786,2187,1287,757,369,282,256,462,1037,2258,4065,7818,12829,19039,30630
19722,13763,10690,7887,5657,3497,2182,1157,785,467,290,277,554,1026,2176,4163,7770,12793,18652,31023
